text,category,priority
"Весь офіс втратив доступ до VPN","Network","P1"
"Не працює пошта на робочому комп'ютері","Workstation","P2"
"Користувач не може оплатити рахунок через помилку","Billing","P3"
"Проблема з базою даних — не відкриваються звіти","Database","P1"
"Повільне підключення до WiFi у конференц-залі","Network","P2"
"Не зберігається документ у CRM-системі","Application","P2"
"Питання щодо відпустки","HR","P3"
"Зміна пароля користувача","Service","P3"
"Помилка при оновленні системи","Application","P2"
"Немає доступу до корпоративного VPN","Network","P1"
